,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Poum,NC,-20.2333,164.0167,74.66,78,3,11.36,clear sky
142,Carbonia,IT,39.1672,8.5222,81.55,44,11,8.75,few clouds
143,Hualmay,PE,-11.0964,-77.6139,64.74,78,73,10.36,broken clouds
144,Cullman,US,34.1748,-86.8436,79.45,65,75,3.44,broken clouds
145,Frunze,UA,48.6686,38.7544,75.31,51,24,12.33,few clouds
146,Halvad,IN,23.0167,71.1833,84.6,59,10,5.79,clear sky
147,Luruaco,CO,10.6092,-75.1431,83.82,71,81,2.73,broken clouds
148,Norman Wells,CA,65.282,-126.8329,37.44,93,75,2.3,broken clouds
149,Yurga,RU,55.7231,84.8861,45.03,70,33,0.78,scattered clouds
150,Sao Filipe,CV,14.8961,-24.4956,78.12,74,90,8.37,overcast clouds
151,Nakusp,CA,50.2499,-117.8023,47.48,100,49,1.14,scattered clouds
152,San Pedro,PH,14.35,121.0167,79.36,92,75,8.05,light intensity shower rain
153,Ahipara,NZ,-35.1667,173.1667,58.6,86,98,15.08,overcast clouds
154,Shar,KZ,49.5886,81.0453,55.42,36,0,7.85,clear sky
155,Kenai,US,60.5544,-151.2583,50.09,74,0,12.66,clear sky
156,Bauchi,NG,10.5,10.0,77.83,81,100,5.26,light rain
157,Kieta,PG,-6.2167,155.6333,77.32,92,99,13.42,moderate rain
158,Phra Phutthabat,TH,14.7253,100.7954,76.53,98,100,5.3,overcast clouds
159,Jamestown,US,42.097,-79.2353,78.03,58,0,11.5,clear sky
160,Sahbuz,AZ,39.4072,45.5739,83.8,26,0,4.97,clear sky
161,Clyde River,CA,70.4692,-68.5914,35.83,93,100,4.61,overcast clouds
162,Macara,EC,-4.3833,-79.95,84.88,45,1,7.65,clear sky
163,Usinsk,RU,65.9939,57.5281,48.0,95,100,19.08,moderate rain
164,Gimli,CA,50.6336,-96.9907,59.02,88,57,6.91,broken clouds
165,Moerai,PF,-22.4333,-151.3333,73.53,83,24,13.8,few clouds
166,Arlit,NE,18.7369,7.3853,99.97,19,92,4.99,overcast clouds
167,Lompoc,US,34.6391,-120.4579,64.78,85,40,10.36,scattered clouds
168,Klaksvik,FO,62.2266,-6.589,50.92,67,99,6.24,overcast clouds
169,Luderitz,NA,-26.6481,15.1594,57.94,63,1,29.39,clear sky
170,Vredendal,ZA,-31.6683,18.5012,57.67,55,74,12.21,broken clouds
171,Poso,ID,-1.3959,120.7524,77.29,81,81,3.18,broken clouds
172,Lexington,US,37.9887,-84.4777,78.94,60,75,8.05,broken clouds
173,Thompson,CA,55.7435,-97.8558,53.76,100,100,3.44,mist
174,Mahon,ES,39.8885,4.2658,75.76,46,0,13.8,clear sky
