City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Meulaboh,ID,76.91,overcast clouds,4.1363,96.1285,Kost Pria
387,Todos Santos,MX,77.67,broken clouds,23.45,-110.2167,Hotel California Todos Santos
388,Decatur,US,77.25,clear sky,39.8403,-88.9548,Haworth Cottage
390,Saint Joseph,US,81.55,clear sky,39.7686,-94.8466,Whiskey Mansion Inn
392,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
395,Katobu,ID,75.54,overcast clouds,-4.9408,122.5276,La Ode Husein
398,Dingle,PH,76.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
401,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
406,Auki,SB,77.65,overcast clouds,-8.7676,160.7034,Auki Motel
414,Lorengau,PG,80.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
416,Itarema,BR,87.73,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
420,Kimbe,PG,75.27,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
421,Amahai,ID,77.77,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
422,Kahone,SN,89.62,scattered clouds,14.15,-16.0333,Adjana Hotel
424,Broome,US,79.09,clear sky,42.2506,-75.833,Chenango Valley State Park
426,Tamandare,BR,80.94,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
427,Alexandria,EG,82.94,few clouds,31.2156,29.9553,Royal Crown Hotel
428,Pasni,PK,80.11,clear sky,25.2631,63.471,Kashmiri Hotal
430,Katsuura,JP,79.5,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
436,Rincon,US,84.9,scattered clouds,32.296,-81.2354,Days Inn Rincon
441,Pascagoula,US,87.42,overcast clouds,30.3658,-88.5561,Regency Inn
444,Kant,IN,80.51,scattered clouds,27.8,79.8,Sumit Verma
446,Praya,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
448,Kerema,PG,77.77,overcast clouds,-7.9631,145.7785,Frena Lodge
449,Waingapu,ID,77.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
450,Corozal,CO,83.1,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
452,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
453,Angoche,MZ,76.19,clear sky,-16.2325,39.9086,Guest House HESADA
457,Pedernales,DO,86.29,broken clouds,18.0384,-71.744,Hotel Costa Marina
458,Alta Floresta,BR,89.42,smoke,-9.8756,-56.0861,Floresta Amazonica Hotel
466,Dillon,US,83.25,clear sky,34.4166,-79.3712,Dillon Express Inn
469,Bullhead City,US,85.71,clear sky,35.1478,-114.5683,Harrah's Laughlin Beach Resort & Casino
473,Shakawe,BW,89.58,clear sky,-18.3667,21.85,Ditlhapi Guest House
475,Bandarbeyla,SO,77.65,clear sky,9.4942,50.8122,JABIR HOTEL
478,Mulege,MX,87.66,clear sky,26.8833,-111.9833,Casa Granada
479,Oil City,US,77.81,clear sky,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
482,Mbour,SN,86.85,light rain,14.422,-16.9638,Tama Lodge
483,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
487,Cape Canaveral,US,85.19,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
488,Valdosta,US,83.7,few clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
489,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
491,Bhanvad,IN,79.5,clear sky,21.9264,69.7736,Mahalaxmi farshan
492,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Green leaf
495,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
498,Palmer,US,78.44,scattered clouds,42.1584,-72.3287,Wedgewood Motel
506,Touros,BR,84.27,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
508,La Asuncion,VE,85.41,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
512,Road Town,VG,78.89,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
517,San Vicente,AR,76.93,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
519,Mana,GF,87.93,scattered clouds,5.6592,-53.7767,LE SAMANA
521,Yenagoa,NG,80.28,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
522,Luwuk,ID,76.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
524,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
528,Rampura,IN,83.1,few clouds,30.25,75.2333,Akash
530,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
533,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
535,Hamilton,US,80.22,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
536,Soyo,AO,76.78,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
540,Lakatoro,VU,79.14,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
541,Kulu,TR,83.08,clear sky,39.0951,33.0799,Kapadokya Motel
543,Ambanja,MG,76.93,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
551,Batticaloa,LK,82.53,overcast clouds,7.7102,81.6924,Grand Star Guest House
552,Rodrigues Alves,BR,89.8,few clouds,-7.738,-72.6509,Pousada Aconchego
561,Kendari,ID,75.29,overcast clouds,-3.945,122.4989,Hotel Wixel
563,Hirara,JP,80.37,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
565,Hue,VN,80.71,scattered clouds,16.4667,107.6,Saigon Morin Hotel
566,Burlington,US,80.92,clear sky,39.8835,-74.6413,Delanco Camp
569,Del Rio,US,84.24,broken clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
572,Andrelandia,BR,79.05,clear sky,-21.7397,-44.3092,Hotel Real
577,Firozpur Jhirka,IN,85.84,clear sky,27.8,76.95,MOHD MUBARIQUE J.E.
578,Buala,SB,80.47,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
579,Roma,US,79.83,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
584,Eyl,SO,78.55,clear sky,7.9803,49.8164,Amiin Hotel
591,Urbana,US,78.73,clear sky,40.1106,-88.2073,Hilton Garden Inn Champaign/ Urbana
596,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
597,Lucapa,AO,81.27,overcast clouds,-8.4192,20.7447,Lírio Mendes
598,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
606,Mwinilunga,ZM,81.03,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
608,Bud,US,78.82,clear sky,39.447,-86.1758,Ted McQuinn Trust
609,Pagudpud,PH,79.27,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
610,Ambon,ID,81.23,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
616,Cururupu,BR,83.41,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
623,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
627,Puerto Madero,MX,82.71,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
629,Probolinggo,ID,77.97,broken clouds,-7.7543,113.2159,Rumah Anggrek Syariah 1 RedPartner
630,Sarakhs,IR,80.2,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
634,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
636,Agadir,MA,79.25,few clouds,30.4202,-9.5982,Iberostar Founty Beach
638,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
639,Pak Phanang,TH,78.82,overcast clouds,8.3511,100.202,Green Park Inn Hotel
645,Ormara,PK,80.89,clear sky,25.2088,64.6357,Kenara Colony House for Rent
647,Aloleng,PH,80.38,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
655,Salta,AR,84.58,few clouds,-24.7859,-65.4117,Hotel Alejandro I
658,Palmerston,AU,82.38,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
659,Ban Dung,TH,79.11,broken clouds,17.699,103.2596,Heuan Na Khee
665,Qrendi,MT,78.12,clear sky,35.8347,14.4583,M'Anglu
666,Sliema,MT,78.96,clear sky,35.9125,14.5019,Grand Hotel Excelsior Malta
667,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
669,Sidi Ali,DZ,80.17,broken clouds,36.0998,0.4206,Khaled
672,Kutum,SD,85.6,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
673,Tateyama,JP,80.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
677,Pemangkat,ID,79.79,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
680,Vung Tau,VN,80.89,overcast clouds,10.346,107.0843,Seaside Resort
689,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
696,Buenaventura,CO,79.99,overcast clouds,3.8801,-77.0312,Hotel Victoria
699,Ouesso,CG,76.6,light rain,1.6136,16.0517,ABENIE Hotel
